num,id,name
0,1,Antimage
1,2,Axe
2,3,Bane
3,4,Bloodseeker
4,5,Crystal Maiden
5,6,Drow Ranger
6,7,Earthshaker
7,8,Juggernaut
8,9,Mirana
9,11,Shadow Fiend
10,10,Morphling
11,12,Phantom Lancer
12,13,Puck
13,14,Pudge
14,15,Razor
15,16,Sand King
16,17,Storm Spirit
17,18,Sven
18,19,Tiny
19,20,Vengeful Spirit
20,21,Windranger
21,22,Zeus
22,23,Kunkka
23,25,Kina
24,31,Lich
25,26,Lion
26,27,Shadow Shaman
27,28,Slardar
28,29,Tidehunter
29,30,Witch Doctor
30,32,Riki
31,33,Enigma
32,34,Tinker
33,35,Sniper
34,36,Necrophos
35,37,Warlock
36,38,Beastmaster
37,39,Queen of Pain
38,40,Venomancer
39,41,Faceless Void
40,42,Wraith King
41,43,Death Prophet
42,44,Phantom Assassin
43,45,Pugna
44,46,Templar Assassin
45,47,Viper
46,48,Luna
47,49,Dragon Knight
48,50,Dazzle
49,51,Clockwerk
50,52,Leshrac
51,53,Nature's Prophet
52,54,Lifestealer
53,55,Dark Seer
54,56,Clinkz
55,57,Omniknight
56,58,Enchantress
57,59,Huskar
58,60,Night Stalker
59,61,Broodmother
60,62,Bounty Hunter
61,63,Weaver
62,64,Jakiro
63,65,Batrider
64,66,Chen
65,67,Spectre
66,69,Doom
67,68,Ancient Apparition
68,70,Ursa
69,71,Spirit Breaker
70,72,Gyrocopter
71,73,Alchemist
72,74,Invoker
73,75,Silencer
74,76,Outworld Destroyer
75,77,Lycan
76,78,Brewmaster
77,79,Shadow Demon
78,80,Lone Druid
79,81,Chaos Knight
80,82,Meepo
81,83,Treant Protector
82,84,Ogre Magi
83,85,Undying
84,86,Rubick
85,87,Disruptor
86,88,Nyx Assassin
87,89,Naga Siren
88,90,Keeper of the Light
89,91,Io
90,92,Visage
91,93,Slark
92,94,Medusa
93,95,Troll Warlord
94,96,Centaur Warrunner
95,97,Magnus
96,98,Timbersaw
97,99,Bristleback
98,100,Tusk
99,101,Skywrath Mage
100,102,Abaddon
101,103,Elder Titan
102,104,Legion Commander
103,106,Ember Spirit
104,107,Earth Spirit
105,109,Terrorblade
106,110,Phoenix
107,111,Oracle
108,105,Techies
109,112,Winter Wyvern
110,113,Arc Warden
111,108,Underlord
112,114,Monkey King
113,120,Pangolier
114,119,Dark Willow
115,121,Grimstroke
116,129,Mars
117,126,Void Spirit
118,128,Snapfire
119,123,Hoodwink
120,135,Dawnbreaker
121,136,Marci
122,137,Primal Beast
